Unnamed: 0,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia,symptom:weeklyFever
114,US-HI,Hawaii,2020-01-06,,,1.037463976945245,1.78328530259366,,0.9944284341978866,,,2.9291066282420752,,,,0.8430355427473584,,,1.2972142170989434,1.3732949087415942
115,US-HI,Hawaii,2020-01-13,,,1.507396733909702,1.5942363112391933,,1.2253602305475506,,,2.6678194044188284,,,,0.856868395773295,,,1.6049951969260328,1.4816522574447648
116,US-HI,Hawaii,2020-01-20,,,1.1811719500480307,1.8878001921229588,,1.2365033621517771,,,2.66090297790586,,,,0.9936599423631124,,,1.8217098943323726,1.6207492795389054
117,US-HI,Hawaii,2020-01-27,,,1.3940441882804997,1.7967339097022095,,0.9475504322766571,,,2.3738712776176754,,,,0.9148895292987512,,,2.0580211335254566,1.7571565802113351
118,US-HI,Hawaii,2020-02-03,,,1.7156580211335255,2.3054755043227666,,0.7976945244956773,,,3.136215177713737,,,,1.0382324687800193,,,1.5296829971181558,1.7198847262247838
119,US-HI,Hawaii,2020-02-10,,,1.5043227665706052,1.9907780979827092,,1.4708933717579251,,,3.3068203650336216,,,,1.0174831892411145,,,1.7805955811719503,1.8032660902977906
120,US-HI,Hawaii,2020-02-17,,,1.470509125840538,2.3104707012487995,,1.1054755043227666,,,3.5154658981748317,,,,0.6966378482228627,,,2.0672430355427474,1.7394812680115277
121,US-HI,Hawaii,2020-02-24,,,1.4170989433237273,1.7875120076849185,,1.3191162343900096,,,3.1719500480307397,,,,0.926416906820365,,,2.180211335254563,1.8536023054755044
122,US-HI,Hawaii,2020-03-02,,,1.2945244956772335,2.110662824207493,,1.142363112391931,,,3.513928914505284,,,,1.1204610951008647,,,2.676272814601345,1.9942363112391932
123,US-HI,Hawaii,2020-03-09,,,1.245341018251681,2.46954851104707,,1.2134486071085495,,,3.043996157540826,,,,1.9050912584053794,,,3.8424591738712777,3.3367915465898177
124,US-HI,Hawaii,2020-03-16,,,1.1020172910662824,1.9312199807877042,,1.4512968299711817,,,3.2407300672430357,,,,3.2188280499519695,,,3.404418828049952,4.785782901056676
125,US-HI,Hawaii,2020-03-23,12.0,12.0,1.214985590778098,1.3975024015369837,,1.6449567723342942,,,2.2255523535062443,,,,2.838424591738713,,,2.709317963496638,3.3114313160422677
126,US-HI,Hawaii,2020-03-30,21.0,9.0,1.5135446685878964,1.0931796349663785,,1.3875120076849183,,,1.524303554274736,,,,2.312776176753122,,,1.7975024015369838,2.6328530259366
127,US-HI,Hawaii,2020-04-06,44.0,23.0,1.3932756964457254,0.8864553314121038,,1.0236311239193083,,,1.034390009606148,,,,1.7098943323727187,,,1.097790585975024,1.8997118155619601
128,US-HI,Hawaii,2020-04-13,52.0,8.0,1.8255523535062441,0.8918347742555236,,0.8710854947166188,,,1.0785782901056677,,,,1.618059558117195,,,0.5394812680115274,1.4720461095100865
129,US-HI,Hawaii,2020-04-20,68.0,16.0,1.2284341978866475,0.6662824207492796,,0.7600384245917388,,,0.6243996157540826,,,,1.3114313160422673,,,0.9575408261287225,1.365225744476465
130,US-HI,Hawaii,2020-04-27,73.0,5.0,1.4585975024015372,0.8453410182516812,,0.8560999039385208,,,1.1838616714697408,,,,1.173102785782901,,,0.8772334293948126,1.302209414024976
131,US-HI,Hawaii,2020-05-04,81.0,8.0,1.461287223823247,,,0.7093179634966379,,,0.6662824207492796,,,,1.085494716618636,,,0.6017291066282421,1.6103746397694525
132,US-HI,Hawaii,2020-05-11,82.0,1.0,1.4251681075888571,0.65283381364073,,0.9356388088376562,,,0.9248799231508166,,,,1.2184438040345822,,,,1.6749279538904902
133,US-HI,Hawaii,2020-05-18,84.0,2.0,1.0728146013448607,,,1.0174831892411145,,,0.9402497598463017,,,,0.8626320845341019,,,,1.2161383285302594
134,US-HI,Hawaii,2020-05-25,83.0,-1.0,1.7878962536023055,0.7857829010566763,,0.7857829010566763,,,0.6831892411143132,,,,1.3894332372718539,,,,1.1811719500480307
