,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
141,US-HI,Hawaii,2020-07-13,150.0,25.0,36.8,22.73,,24.83,,,25.13,,,,37.09,,,17.95
142,US-HI,Hawaii,2020-07-20,163.0,13.0,30.39,24.78,,18.29,,,19.18,,,,41.01,,,16.52
143,US-HI,Hawaii,2020-07-27,199.0,36.0,28.5,25.8,,28.5,,,16.5,,,,33.0,,,14.1
144,US-HI,Hawaii,2020-08-03,239.0,40.0,40.95,32.11,,15.91,,,35.06,,,,34.47,,,
145,US-HI,Hawaii,2020-08-10,283.0,44.0,29.11,16.3,,21.83,,,23.58,,,,29.69,,,
146,US-HI,Hawaii,2020-08-17,396.0,113.0,36.2,17.4,,22.73,,,19.36,,,,36.2,,,19.93
147,US-HI,Hawaii,2020-08-24,505.0,109.0,29.67,27.25,,22.39,,,17.53,,,,20.5,,,11.33
148,US-HI,Hawaii,2020-08-31,597.0,92.0,33.4,23.35,,28.79,,,23.62,,,,39.92,,,13.04
149,US-HI,Hawaii,2020-09-07,636.0,39.0,31.86,16.07,,31.59,,,14.16,,,,28.05,,,18.52
150,US-HI,Hawaii,2020-09-14,730.0,94.0,30.14,23.35,,22.54,,,21.99,,,,33.13,,,
151,US-HI,Hawaii,2020-09-21,816.0,86.0,34.62,22.36,,25.63,,,28.08,,,,36.26,,,14.99
152,US-ID,Idaho,2020-01-06,,,,31.24,,,,,,,,,,,,52.27
153,US-ID,Idaho,2020-01-13,,,,35.03,,,,,,,,,,,,44.67
154,US-ID,Idaho,2020-01-20,,,,28.5,,,,,,,,,,,,51.09
155,US-ID,Idaho,2020-01-27,,,,30.77,,,,,,,,,,,,47.71
156,US-ID,Idaho,2020-02-03,,,,31.59,,,,,,,,,,,,48.53
157,US-ID,Idaho,2020-02-10,,,,33.57,,,,,,,,,,,,48.4
158,US-ID,Idaho,2020-02-17,,,,32.32,,,,,,,,,,,,55.38
