Unnamed: 0,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Angular cheilitis,symptom:Aphonia,symptom:Burning Chest Pain,symptom:Crackles,symptom:Dysautonomia,symptom:Hemolysis,symptom:Laryngitis,symptom:Myoclonus,symptom:Polydipsia,symptom:Rectal pain,symptom:Shallow breathing,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
114,US-HI,Hawaii,2020-01-06,,,0.7905138339920948,1.987580299785867,,1.0257629805786763,,,2.9291066282420752,,,,0.6947435085497151,,,1.3547351524879614
115,US-HI,Hawaii,2020-01-13,,,1.1485873225003658,1.7768736616702354,,1.26397146254459,,,2.6678194044188284,,,,0.7061431285623813,,,1.676163723916533
116,US-HI,Hawaii,2020-01-20,,,0.9000146391450738,2.10406852248394,,1.2754657154181532,,,2.66090297790586,,,,0.8188727042431919,,,1.9024879614767252
117,US-HI,Hawaii,2020-01-27,,,1.0622163665641926,2.002569593147751,,0.9774078478002379,,,2.3738712776176754,,,,0.7539582013932868,,,2.149277688603531
118,US-HI,Hawaii,2020-02-03,,,1.307275655101742,2.569593147751606,,0.8228299643281809,,,3.136215177713737,,,,0.8556048131728943,,,1.5975120385232744
119,US-HI,Hawaii,2020-02-10,,,1.1462450592885374,2.2188436830835117,,1.517241379310345,,,3.3068203650336216,,,,0.8385053831538949,,,1.8595505617977528
120,US-HI,Hawaii,2020-02-17,,,1.120480163958425,2.5751605995717344,,1.1403091557669442,,,3.5154658981748317,,,,0.5740975300823306,,,2.1589085072231136
121,US-HI,Hawaii,2020-02-24,,,1.0797833406529058,1.9922912205567451,,1.3606817281014667,,,3.1719500480307397,,,,0.7634578847371755,,,2.2768860353130016
122,US-HI,Hawaii,2020-03-02,,,0.9863855950812471,2.3524625267665953,,1.1783590963139121,,,3.513928914505284,,,,0.9233692210259659,,,2.794943820224719
123,US-HI,Hawaii,2020-03-09,,,0.9489093836919923,2.7524625267665948,,1.2516845025762982,,,3.043996157540826,,,,1.5699810006333124,,,4.012841091492777
124,US-HI,Hawaii,2020-03-16,,,0.8397013614404918,2.152462526766595,,1.4970273483947685,,,3.2407300672430357,,,,2.6526282457251424,,,3.5553772070626
125,US-HI,Hawaii,2020-03-23,12.0,12.0,0.9257795344751867,1.5576017130620983,,1.6967895362663499,,,2.2255523535062443,,,,2.339138695376821,,,2.829454253611557
126,US-HI,Hawaii,2020-03-30,21.0,9.0,1.1532718489240228,1.2184154175588864,,1.431232659532303,,,1.524303554274736,,,,1.9059531348955034,,,1.877207062600321
127,US-HI,Hawaii,2020-04-06,44.0,23.0,1.0616308007612354,0.9880085653104924,,1.0558858501783592,,,1.034390009606148,,,,1.409119696010133,,,1.1464686998394862
128,US-HI,Hawaii,2020-04-13,52.0,8.0,1.3910115649246082,0.9940042826552462,,0.8985334918747525,,,1.0785782901056677,,,,1.3334388853704877,,,0.5634028892455858
129,US-HI,Hawaii,2020-04-20,68.0,16.0,0.936026936026936,0.7426124197002141,,0.7839873166864845,,,0.6243996157540826,,,,1.0807473084230528,,,1.0
130,US-HI,Hawaii,2020-04-27,73.0,5.0,1.1114038940125897,0.9421841541755888,,0.8830757035275467,,,1.1838616714697408,,,,0.9667511082963902,,,0.9161316211878008
131,US-HI,Hawaii,2020-05-04,81.0,8.0,1.1134533743229396,,,0.7316686484344036,,,0.6662824207492796,,,,0.8945535148828373,,,0.6284109149277688
132,US-HI,Hawaii,2020-05-11,82.0,1.0,1.0859317815839555,0.7276231263383297,,0.9651208878319463,,,0.9248799231508166,,,,1.0041165294490184,,,
133,US-HI,Hawaii,2020-05-18,84.0,2.0,0.8174498609281218,,,1.0495441934205312,,,0.9402497598463017,,,,0.7108929702343255,,,
134,US-HI,Hawaii,2020-05-25,83.0,-1.0,1.3623188405797102,0.8758029978586723,,0.8105430043598891,,,0.6831892411143132,,,,1.1450284990500317,,,
135,US-HI,Hawaii,2020-06-01,84.0,1.0,0.8194993412384716,0.6119914346895075,,0.9088386841062228,,,0.7439000960614793,,,,0.8204559848005067,,,
136,US-HI,Hawaii,2020-06-08,91.0,7.0,1.0229834577660664,0.5832976445396145,,1.0443915973047961,,,0.841882804995197,,,,0.9281190626979101,,,0.701043338683788
