Unnamed: 0,open_covid_region_code,sub_region_1,date,hospitalized_cumulative,hospitalized_new,symptom:Adrenal crisis,symptom:Allergic conjunctivitis,symptom:Amenorrhea,symptom:Angular cheilitis,symptom:Anosmia,symptom:Aphonia,symptom:Asphyxia,symptom:Atheroma,symptom:Auditory hallucination,symptom:Balance disorder,symptom:Beau's lines,symptom:Burning Chest Pain,symptom:Cataplexy,symptom:Chorea,symptom:Cleft lip and cleft palate,symptom:Clouding of consciousness,symptom:Crackles,symptom:Crepitus,symptom:Cyanosis,symptom:Depersonalization,symptom:Dysautonomia,symptom:Dysgeusia,symptom:Dyspareunia,symptom:Epiphora,symptom:Esophagitis,symptom:Facial swelling,symptom:Fibrocystic breast changes,symptom:Focal seizure,symptom:Gastroparesis,symptom:Gingival recession,symptom:Globus pharyngis,symptom:Hemolysis,symptom:Hepatic encephalopathy,symptom:Hepatotoxicity,symptom:Hydrocephalus,symptom:Hypercalcaemia,symptom:Hypercapnia,symptom:Hyperemesis gravidarum,symptom:Hypersomnia,symptom:Hyperventilation,symptom:Hypochondriasis,symptom:Hypomania,symptom:Laryngitis,symptom:Male infertility,symptom:Mitral insufficiency,symptom:Muscle atrophy,symptom:Myoclonus,symptom:Nasal polyp,symptom:Neck mass,symptom:Neutropenia,symptom:Night terror,symptom:Nocturnal enuresis,symptom:Nystagmus,symptom:Onychorrhexis,symptom:Papule,symptom:Pericarditis,symptom:Petechia,symptom:Photophobia,symptom:Polydipsia,symptom:Polyuria,symptom:Ptosis,symptom:Pulmonary edema,symptom:Rectal pain,symptom:Rectal prolapse,symptom:Rheum,symptom:Rumination,symptom:Sensitivity to sound,symptom:Shallow breathing,symptom:Spasticity,symptom:Stridor,symptom:Subdural hematoma,symptom:Tachypnea,symptom:Tenderness,symptom:Trichoptilosis,symptom:Urinary urgency,symptom:Ventricular fibrillation,symptom:Viral pneumonia
114,US-HI,Hawaii,2020-01-06,,,,,,1.0535557506584725,,1.8109452736318408,,,,,,,,,,,1.0098526972978246,,,,,,,,,,,,,,,,,,,,,,,,,,2.9745390693590874,,,,,,,,,,,,,,,,,,,,,,,,,0.8561115988684032,,,,,,,,,1.3173348941566676
115,US-HI,Hawaii,2020-01-13,,,,,,1.5307774851234026,,1.6189640035118527,,,,,,,,,,,1.244366403277729,,,,,,,,,,,,,,,,,,,,,,,,,,2.709199102526583,,,,,,,,,,,,,,,,,,,,,,,,,0.8701590088771828,,,,,,,,,1.6298897668520147
116,US-HI,Hawaii,2020-01-20,,,,,,1.1994927324163496,,1.9170812603648428,,,,,,,,,,,1.2556823724514683,,,,,,,,,,,,,,,,,,,,,,,,,,2.7021753975221934,,,,,,,,,,,,,,,,,,,,,,,,,1.0090722856306702,,,,,,,,,1.849965856989562
117,US-HI,Hawaii,2020-01-27,,,,,,1.4156667642181253,,1.8246024778070433,,,,,,,,,,,0.9622475856014049,,,,,,,,,,,,,,,,,,,,,,,,,,2.410691639840016,,,,,,,,,,,,,,,,,,,,,,,,,0.9290800897473418,,,,,,,,,2.0899424446395476
118,US-HI,Hawaii,2020-02-03,,,,,,1.7422690469222515,,2.341235001463272,,,,,,,,,,,0.8100673105062922,,,,,,,,,,,,,,,,,,,,,,,,,,3.1848600136572047,,,,,,,,,,,,,,,,,,,,,,,,,1.0543361623256269,,,,,,,,,1.553409423470881
119,US-HI,Hawaii,2020-02-10,,,,,,1.527655838454785,,2.0216564237635355,,,,,,,,,,,1.4937079309335677,,,,,,,,,,,,,,,,,,,,,,,,,,3.358111403765487,,,,,,,,,,,,,,,,,,,,,,,,,1.0332650473124574,,,,,,,,,1.8082138327968007
120,US-HI,Hawaii,2020-02-17,,,,,,1.4933177250999905,,2.3463076772997757,,,,,,,,,,,1.122622183201639,,,,,,,,,,,,,,,,,,,,,,,,,,3.5699931713979125,,,,,,,,,,,,,,,,,,,,,,,,,0.7074431762754854,,,,,,,,,2.0993073846454005
121,US-HI,Hawaii,2020-02-24,,,,,,1.439079114232758,,1.8152375378011905,,,,,,,,,,,1.3395766266705689,,,,,,,,,,,,,,,,,,,,,,,,,,3.221149156179885,,,,,,,,,,,,,,,,,,,,,,,,,0.9407862647546581,,,,,,,,,2.214027899717101
122,US-HI,Hawaii,2020-03-02,,,,,,1.314603453321627,,2.1434006438396254,,,,,,,,,,,1.1600819432250513,,,,,,,,,,,,,,,,,,,,,,,,,,3.5684323480636038,,,,,,,,,,,,,,,,,,,,,,,,,1.1378402107111503,,,,,,,,,2.717783630865282
123,US-HI,Hawaii,2020-03-09,,,,,,1.264657106623744,,2.5078528924007415,,,,,,,,,,,1.2322700224368355,,,,,,,,,,,,,,,,,,,,,,,,,,3.0912106135986734,,,,,,,,,,,,,,,,,,,,,,,,,1.934640522875817,,,,,,,,,3.90205833577212
